"","ssuid","monthly_childcare_expenditure","k_under2","k_3to5","k_6to10","METRO","reg_ratio","criminal_records","daycare_regulations","monthly_job_hrs","monthly_wage","monthly_earned_income","monthly_unearned_income","education","age","log_expenditure","H","F","d1","d2","d3"
"5558",881816500061,0,0,0,2,1,6,1,1,35,2673.75,2673.75,-2450.9375,12,40.5,0,1,0,0,1,0
"5559",881816500160,217.285714285714,0,0,1,1,6,1,1,31.6666666666667,2468.83333333333,2468.83333333333,-2263.01388888889,16,42.1666666666667,5.38121314320398,1,1,0,0,0
"5560",881816500179,434.571428571429,0,1,0,1,6,1,1,35,2719.5,2853.58333333333,-2626.95833333333,12,32.0833333333333,6.07436032376392,1,1,0,0,0
"5561",881816500671,0,0,1,0,1,6,1,1,0,0,0,0,5,32.75,0,0,0,1,0,0
"5562",881816500899,0,0,1,1,1,6,1,1,0,0,0,162.5,13,34.75,0,0,0,1,0,0
"5563",881816500960,0,0,1,0,1,6,1,1,0,0,0,50.6666666666667,12,34.0833333333333,0,0,0,1,0,0
"5564",881816508033,3454.84285714286,0,1,0,1,6,1,1,40,4171.08333333333,4171.08333333333,-3823.49305555556,14,45.5833333333333,8.14753225243017,1,1,0,0,0
"5565",881816508363,3454.84285714286,1,1,1,1,6,1,1,0,0,0,0,11,26.6666666666667,8.14753225243017,0,1,1,0,1
"5566",881816610536,0,0,0,1,1,6,1,1,34,2067.66666666667,3267.66666666667,-3095.36111111111,12,48.6666666666667,0,1,0,0,1,0
"5567",881816625899,0,1,0,1,1,6,1,1,0,0,0,0,8,32.3333333333333,0,0,0,1,0,0
"5568",881816625960,0,0,1,0,1,6,1,1,15.2083333333333,529.25,529.25,-485.145833333333,12,20.25,0,0,0,1,0,0
"5569",881816625999,391.114285714286,0,1,0,1,6,1,1,0,0,0,0,13,28.4166666666667,5.9689998081061,0,1,1,0,1
"5570",881816635108,391.114285714286,1,1,1,1,6,1,1,0,0,0,0,16,37.6,5.9689998081061,0,1,1,0,1
"5571",881816635179,0,1,0,0,1,6,1,1,30,1243.08333333333,1443.08333333333,-1339.49305555556,12,20.8333333333333,0,1,0,0,1,0
"5572",881816635198,0,0,0,1,1,6,1,1,30,0,0,104.423611111111,12,45.5,0,1,0,0,1,0
"5573",881816662671,0,0,0,1,1,6,1,1,40,2971.91666666667,2971.91666666667,-2724.25694444444,13,37,0,1,0,0,1,0
"5574",881816689120,0,0,1,1,1,5,1,1,0,0,0,0,9,35.0833333333333,0,0,0,1,0,0
"5575",881816755120,0,1,0,0,1,5,1,1,45,4261.33333333333,4261.33333333333,-3906.13888888889,18,32.9166666666667,0,1,0,0,1,0
"5576",881816756470,0,0,0,2,1,6,1,1,0,0,0,0,12,44.4166666666667,0,0,0,1,0,0
"5577",881816756668,0,1,2,0,1,6,1,1,0,0,0,72.3333333333333,10,22.4166666666667,0,0,0,1,0,0
"5578",881816756899,651.857142857143,0,0,2,1,6,1,1,35,2719.5,2853.58333333333,-2626.95833333333,12,32.75,6.47982543187209,1,1,0,0,0
"5579",881816771195,0,1,0,2,1,6,1,1,0,0,0,0,12,24.5833333333333,0,0,0,1,0,0
"5580",881816771388,0,0,0,1,1,6,1,1,0,0,0,0,16,42,0,0,0,1,0,0
"5581",881816847108,0,1,0,0,1,6,1,1,0,0,0,0.333333333333333,12,18.5833333333333,0,0,0,1,0,0
"5582",881816847125,0,0,0,1,1,6,1,1,17.65,505.916666666667,1011.83333333333,-923.770833333333,14,33.75,0,0,0,1,0,0
"5583",881816848388,0,1,1,0,1,6,1,1,40,2785.58333333333,2785.58333333333,-2553.45138888889,12,26.9166666666667,0,1,0,0,1,0
"5584",881816848451,651.857142857143,0,1,1,1,6,1,1,40,3258.58333333333,3258.58333333333,-2986.78472222222,16,39.75,6.47982543187209,1,1,0,0,0
"5585",881816848935,434.571428571429,0,0,1,1,6,1,1,25,303.166666666667,303.166666666667,-277.902777777778,8,41.8333333333333,6.07436032376392,1,1,0,0,0
"5586",881816860346,0,0,1,0,1,5,1,1,0,0,0,33.3333333333333,12,20,0,0,0,1,0,0
"5587",881816860470,0,0,0,1,1,6,1,1,34,2437.33333333333,2437.33333333333,-2234.22222222222,12,42.0833333333333,0,1,0,0,1,0
"5588",881816860497,0,0,0,1,1,5,1,1,0,0,0,0,12,25.0833333333333,0,0,0,1,0,0
"5589",881816860899,0,1,0,0,1,6,1,1,0,0,0,0,12,25.8333333333333,0,0,0,1,0,0
"5590",881816911172,0,0,0,1,1,5,1,1,40,6545.91666666667,6545.91666666667,-6000.34027777778,16,39.9166666666667,0,1,0,0,1,0
"5591",881816929762,0,0,1,0,1,6,1,1,3,350,350,-306.916666666667,16,36.0833333333333,0,0,0,1,0,0
"5592",881816945189,912.6,1,1,1,1,6.58333333333333,1,1,40,4011,4011,-3676.75,16,32,6.8162976684933,1,1,0,0,0
"5593",881816945198,0,0,0,1,1,6,1,1,30,1195.16666666667,1195.16666666667,-1095.56944444444,9,41.4166666666667,0,1,0,0,1,0
"5594",881816945899,0,1,1,0,1,6,1,1,0,0,0,0,11,25.6666666666667,0,0,0,1,0,0
"5595",881816982552,2172.85714285714,0,1,1,1,6,1,1,6,501.583333333333,501.583333333333,-417.986111111111,18,35.9166666666667,7.68379823619803,0,1,1,0,1
"5596",881816982671,0,0,2,0,1,6,1,1,0,0,0,25,18,37.5833333333333,0,0,0,1,0,0
"5597",881816982751,0,0,1,1,1,6,1,1,40,3650,3650,-3321.58333333333,13,38.9166666666667,0,1,0,0,1,0
"5598",881860021069,0,0,0,1,0,5,1,1,39,3159.41666666667,3159.41666666667,-2895.96527777778,16,35.5833333333333,0,1,0,0,1,0
"5599",881860021161,0,0,0,1,1,6,1,1,20,0,0,13.5416666666667,8,38.8333333333333,0,0,0,1,0,0
"5600",881860021251,0,1,0,0,1,5,1,1,40,2606.91666666667,2606.91666666667,-2389.67361111111,12,29.6666666666667,0,1,0,0,1,0
"5601",881860021534,0,0,0,1,1,6,1,1,0,0,0,0,12,34.8333333333333,0,0,0,1,0,0
"5602",881860021779,847.414285714286,0,2,0,1,5,1,1,40,9037.75,9037.75,-8284.60416666667,16,40.6666666666667,6.74218969633958,1,1,0,0,0
